Generated at 17:42 (eastern) on Wednesday 03 June 2026
Params: cond_upper_bound=None, cond_lower_bound=None
BSD(E,2) check: run (output verified)
Run took: 7 minutes 53 seconds

cremona_label,source,lmfdb_label
12927c1, CLZ20, 12927.c2
12937a1, CLZ20, 12937.a2
13045b1, CLZ20, 13045.a2
13074a1, CLZ20, 13074.a1
13101e1, CLZ20, 13101.e2
13138b1, CLZ20, 13138.a2
13179f1, CLZ20, 13179.e2
13193a1, CLZ20, 13193.a2
13251a1, CLZ20, 13251.a1
13355a1, CLZ20, 13355.a2
13391a1, CLZ20, 13391.b2
13493a1, CLZ20, 13493.a2
13506b1, CLZ20, 13506.b1
13522a1, CLZ20, 13522.a2
13533a1, CLZ20, 13533.d2
13539a1, CLZ20, 13539.a2
13605d1, CLZ20, 13605.d1
13618b1, CLZ20, 13618.b1
13646b1, CLZ20, 13646.a2
13666a1, CLZ20, 13666.a2
13741a1, CLZ20, 13741.b1
13783b1, CLZ20, 13783.a1
13817a1, CLZ20, 13817.a2
13827b1, CLZ20, 13827.a1
13934b1, CLZ20, 13934.a2
13954c1, CLZ20, 13954.a2
14034a1, CLZ20, 14034.a1
14043b1, CLZ20, 14043.b1
14114a1, CLZ20, 14114.c2
14123a1, CLZ20, 14123.c2
14146d1, CLZ20, 14146.c1
14194b1, CLZ20, 14194.b2
14206a1, CLZ20, 14206.a2
14306b1, CLZ20, 14306.d2
14353a1, CLZ20, 14353.a2
14513a1, CLZ20, 14513.a2
14559b1, CLZ20, 14559.b1
14573a1, CLZ20, 14573.a1
14605a1, CLZ20, 14605.a1
14609c1, CLZ20, 14609.d2
14619c1, CLZ20, 14619.a1
14619a1, CLZ20, 14619.b2
14671a1, CLZ20, 14671.a2
14691b1, CLZ20, 14691.b1
14702c1, CLZ20, 14702.c2
14754c1, CLZ20, 14754.c1
14802b1, CLZ20, 14802.b1
14818a1, CLZ20, 14818.a2
14829a1, CLZ20, 14829.a2
14849a1, CLZ20, 14849.a2
14881a1, CLZ20, 14881.a2
14882l1, CLZ20, 14882.n2
14974a1, CLZ20, 14974.a2
15071a1, CLZ20, 15071.a2
15166a1, CLZ20, 15166.a2
15186a1, CLZ20, 15186.b1
15279a1, CLZ20, 15279.a2
15394a1, CLZ20, 15394.a1
15407d1, CLZ20, 15407.d2
15411b1, CLZ20, 15411.a2
15474b1, CLZ20, 15474.b1
15506a1, CLZ20, 15506.a2
15593a1, CLZ20, 15593.a2
15617a1, CLZ20, 15617.a1
15617b1, CLZ20, 15617.b1
15623a1, CLZ20, 15623.a2
15771a1, CLZ20, 15771.b1
15837a1, CLZ20, 15837.a2
15874a1, CLZ20, 15874.a2
15954c1, CLZ20, 15954.b1
16053a1, CLZ20, 16053.a2
16098d1, CLZ20, 16098.d1
16114a1, CLZ20, 16114.a2
16194b1, CLZ20, 16194.b1
16201a1, CLZ20, 16201.a2
16222b1, CLZ20, 16222.b2
16274a1, CLZ20, 16274.a2
16306e1, CLZ20, 16306.d2
16334b1, CLZ20, 16334.a2
16382c1, CLZ20, 16382.b2
16386b1, CLZ20, 16386.b1
16402a1, CLZ20, 16402.a1
16439a1, CLZ20, 16439.a2
16441a1, CLZ20, 16441.a2
16467a1, CLZ20, 16467.a1
16491c1, CLZ20, 16491.d2
16527a1, CLZ20, 16527.a2
16549a1, CLZ20, 16549.a1
16647d1, CLZ20, 16647.e2
16701a1, CLZ20, 16701.a1
16818d1, CLZ20, 16818.d1
16834b1, CLZ20, 16834.b1
17005d1, CLZ20, 17005.b2
17026c1, CLZ20, 17026.c2
17089a1, CLZ20, 17089.a2
17106b1, CLZ20, 17106.b1
17106d1, CLZ20, 17106.d1
17245b1, CLZ20, 17245.a2
17347a1, CLZ20, 17347.a2
17437a1, CLZ20, 17437.b2
17453a1, CLZ20, 17453.a2
17554b1, CLZ20, 17554.b1
17555b1, CLZ20, 17555.c2
17634a1, CLZ20, 17634.a1
17663a1, CLZ20, 17663.a2
17673b1, CLZ20, 17673.b1
17679b1, CLZ20, 17679.a1
17697b1, CLZ20, 17697.b1
17778c1, CLZ20, 17778.c1
17801a1, CLZ20, 17801.a2
17826a1, CLZ20, 17826.b1
17841h1, CLZ20, 17841.g2
