curve_label,twist,reason,algorithm1_failure_class
1169a1,949,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,97,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,113,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,449,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,881,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1342d1,977,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,137,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,337,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,641,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,673,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,793,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,953,UPSTREAM_BASE_REMOVAL,A3_ONLY
1442c1,977,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,281,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,769,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
1490b1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,29,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,469,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,581,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
1495b1,829,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,17,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,113,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,193,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,233,UPSTREAM_BASE_REMOVAL,A3_ONLY
1546a1,241,UPSTREAM_BASE_REMOVAL,A3_ONLY
