curve_label,source,lmfdb_label,algorithm1_failure_class,reason,twist_file_generator_commit
4042a1,Zha16_no_2_tors,4042.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4045a1,Zha16_no_2_tors,4045.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4066a1,Zha16_no_2_tors,4066.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4294h1,Zha16_no_2_tors,4294.f2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4387a1,Zha16_no_2_tors,4387.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4389k1,Zha16_no_2_tors,4389.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4667a1,Zha16_no_2_tors,4667.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4826c1,Zha16_no_2_tors,4826.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4907a1,Zha16_no_2_tors,4907.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5010h1,Zha16_no_2_tors,5010.h2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5014a1,Zha16_no_2_tors,5014.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5278c1,Zha16_no_2_tors,5278.a3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5278g1,Zha16_no_2_tors,5278.d2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5306d1,Zha16_no_2_tors,5306.d1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5395b1,Zha16_no_2_tors,5395.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5518a1,Zha16_no_2_tors,5518.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5691g1,Zha16_no_2_tors,5691.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
5890d1,Zha16_no_2_tors,5890.a3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6130c1,Zha16_no_2_tors,6130.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6205b1,Zha16_no_2_tors,6205.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6603b1,Zha16_no_2_tors,6603.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6690j1,Zha16_no_2_tors,6690.j2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6715b1,Zha16_no_2_tors,6715.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6806e1,Zha16_no_2_tors,6806.f2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
6886a1,Zha16_no_2_tors,6886.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
7130a1,Zha16_no_2_tors,7130.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
