curve_label,lmfdb_label,source,conductor,old_twist_count,new_twist_count,removed_twist_count,added_twist_count,net_delta,algorithm2_class
49138b1,49138.a2,CLZ20,49138,1,1,0,0,0,UNCHANGED
49182b1,49182.b1,Zha16_no_2_tors,49182,4,4,0,0,0,UNCHANGED
49209b1,49209.a1,Zha16_no_2_tors,49209,10,10,0,0,0,UNCHANGED
49209c1,49209.c1,Zha16_no_2_tors,49209,10,10,0,0,0,UNCHANGED
49227a1,49227.a1,Zha16_no_2_tors,49227,7,7,0,0,0,UNCHANGED
49238a1,49238.a1,Zha16_no_2_tors,49238,6,6,0,0,0,UNCHANGED
49267b1,49267.b1,Zha16_no_2_tors,49267,12,12,0,0,0,UNCHANGED
49278b1,49278.c1,Zha16_no_2_tors,49278,4,4,0,0,0,UNCHANGED
49285a1,49285.a1,Zha16_no_2_tors,49285,17,12,5,0,-5,SHRINK_ONLY
49291a1,49291.a1,Zha16_no_2_tors,49291,22,22,0,0,0,UNCHANGED
49299a1,49299.a1,Zha16_no_2_tors,49299,30,30,0,0,0,UNCHANGED
49315a1,49315.b1,Zha16_no_2_tors,49315,6,6,0,0,0,UNCHANGED
49326a1,49326.a1,Zha16_no_2_tors,49326,10,10,0,0,0,UNCHANGED
49326b1,49326.b1,Zha16_no_2_tors,49326,10,10,0,0,0,UNCHANGED
49378a1,49378.a1,Zha16_no_2_tors,49378,6,6,0,0,0,UNCHANGED
49398b1,49398.b1,Zha16_no_2_tors,49398,6,6,0,0,0,UNCHANGED
49426b1,49426.d1,Zha16_no_2_tors,49426,8,8,0,0,0,UNCHANGED
49431b1,49431.b1,Zha16_no_2_tors,49431,21,21,0,0,0,UNCHANGED
49458b1,49458.b1,CLZ20,49458,1,1,0,0,0,UNCHANGED
49461a1,49461.b2,CLZ20,49461,3,3,0,0,0,UNCHANGED
49469b1,49469.b1,Zha16_no_2_tors,49469,8,6,2,0,-2,SHRINK_ONLY
49483b1,49483.d1,Zha16_no_2_tors,49483,20,20,0,0,0,UNCHANGED
49483c1,49483.b1,Zha16_no_2_tors,49483,17,17,0,0,0,UNCHANGED
49502d1,49502.e1,Zha16_no_2_tors,49502,13,9,4,0,-4,SHRINK_ONLY
49506c1,49506.c1,Zha16_no_2_tors,49506,4,4,0,0,0,UNCHANGED
49629b1,49629.b1,Zha16_no_2_tors,49629,6,6,0,0,0,UNCHANGED
49651a1,49651.b1,Zha16_no_2_tors,49651,11,11,0,0,0,UNCHANGED
49666a1,49666.a1,CLZ20,49666,1,1,0,0,0,UNCHANGED
49677a1,49677.a1,Zha16_no_2_tors,49677,6,6,0,0,0,UNCHANGED
49694c1,49694.c2,CLZ20,49694,1,1,0,0,0,UNCHANGED
49695a1,49695.a1,Zha16_no_2_tors,49695,11,11,0,0,0,UNCHANGED
49701a1,49701.a1,Zha16_no_2_tors,49701,23,23,0,0,0,UNCHANGED
49705a1,49705.a1,Zha16_no_2_tors,49705,20,20,0,0,0,UNCHANGED
49709a1,49709.a1,Zha16_no_2_tors,49709,12,11,1,0,-1,SHRINK_ONLY
49721a1,49721.a1,Zha16_no_2_tors,49721,18,13,5,0,-5,SHRINK_ONLY
49746a1,49746.a1,CLZ20,49746,1,1,0,0,0,UNCHANGED
49749e1,49749.e1,Zha16_no_2_tors,49749,4,4,0,0,0,UNCHANGED
49762a1,49762.a1,Zha16_no_2_tors,49762,10,10,0,0,0,UNCHANGED
49794m1,49794.p1,Zha16_no_2_tors,49794,4,4,0,0,0,UNCHANGED
49798a1,49798.a1,Zha16_no_2_tors,49798,8,8,0,0,0,UNCHANGED
49826b1,49826.b1,Zha16_no_2_tors,49826,7,7,0,0,0,UNCHANGED
49835a1,49835.b1,Zha16_no_2_tors,49835,22,15,7,0,-7,SHRINK_ONLY
49845a1,49845.a1,CLZ20,49845,1,1,0,0,0,UNCHANGED
49847a1,49847.b1,Zha16_no_2_tors,49847,25,18,7,0,-7,SHRINK_ONLY
49847b1,49847.a2,CLZ20,49847,1,1,0,0,0,UNCHANGED
49849a1,49849.a1,Zha16_no_2_tors,49849,20,20,0,0,0,UNCHANGED
49861a1,49861.c1,Zha16_no_2_tors,49861,12,11,1,0,-1,SHRINK_ONLY
49861b1,49861.b1,Zha16_no_2_tors,49861,12,11,1,0,-1,SHRINK_ONLY
49885b1,49885.b1,Zha16_no_2_tors,49885,8,5,3,0,-3,SHRINK_ONLY
49890c1,49890.d1,Zha16_no_2_tors,49890,3,3,0,0,0,UNCHANGED
49906a1,49906.a2,CLZ20,49906,4,4,0,0,0,UNCHANGED
49910d1,49910.b1,Zha16_no_2_tors,49910,1,1,0,0,0,UNCHANGED
49915a1,49915.a1,Zha16_no_2_tors,49915,5,5,0,0,0,UNCHANGED
49933b1,49933.a1,Zha16_no_2_tors,49933,9,9,0,0,0,UNCHANGED
49938b1,49938.a1,Zha16_no_2_tors,49938,1,1,0,0,0,UNCHANGED
49938k1,49938.n1,Zha16_no_2_tors,49938,1,1,0,0,0,UNCHANGED
49970d1,49970.c1,Zha16_no_2_tors,49970,4,3,1,0,-1,SHRINK_ONLY
49978a1,49978.a1,Zha16_no_2_tors,49978,20,15,5,0,-5,SHRINK_ONLY
49987b1,49987.b1,Zha16_no_2_tors,49987,5,5,0,0,0,UNCHANGED
49990b1,49990.b1,Zha16_no_2_tors,49990,9,9,0,0,0,UNCHANGED
49994c1,49994.b1,Zha16_no_2_tors,49994,9,9,0,0,0,UNCHANGED
50003a1,50003.a2,CLZ20,50003,1,1,0,0,0,UNCHANGED
50005a1,50005.c1,Zha16_no_2_tors,50005,12,9,3,0,-3,SHRINK_ONLY
50026a1,50026.a1,Zha16_no_2_tors,50026,18,18,0,0,0,UNCHANGED
50034b1,50034.e1,Zha16_no_2_tors,50034,5,5,0,0,0,UNCHANGED
50046f1,50046.g1,Zha16_no_2_tors,50046,3,3,0,0,0,UNCHANGED
50091a1,50091.a1,Zha16_no_2_tors,50091,5,5,0,0,0,UNCHANGED
50115a1,50115.b1,Zha16_no_2_tors,50115,2,2,0,0,0,UNCHANGED
50122a1,50122.a1,Zha16_no_2_tors,50122,8,6,2,0,-2,SHRINK_ONLY
50122b1,50122.c1,Zha16_no_2_tors,50122,8,6,2,0,-2,SHRINK_ONLY
50162b1,50162.b1,Zha16_no_2_tors,50162,6,6,0,0,0,UNCHANGED
50169b1,50169.c1,Zha16_no_2_tors,50169,5,5,0,0,0,UNCHANGED
50187a1,50187.a1,Zha16_no_2_tors,50187,13,13,0,0,0,UNCHANGED
50190b1,50190.a1,Zha16_no_2_tors,50190,1,1,0,0,0,UNCHANGED
50190w1,50190.w1,Zha16_no_2_tors,50190,1,1,0,0,0,UNCHANGED
50190y1,50190.y1,Zha16_no_2_tors,50190,1,1,0,0,0,UNCHANGED
50205c1,50205.b1,CLZ20,50205,2,2,0,0,0,UNCHANGED
50226a1,50226.a1,Zha16_no_2_tors,50226,3,3,0,0,0,UNCHANGED
50226c1,50226.c1,Zha16_no_2_tors,50226,3,3,0,0,0,UNCHANGED
50230d1,50230.d1,Zha16_no_2_tors,50230,7,7,0,0,0,UNCHANGED
50233a1,50233.a2,CLZ20,50233,1,1,0,0,0,UNCHANGED
50235b1,50235.d1,Zha16_no_2_tors,50235,3,3,0,0,0,UNCHANGED
50259a1,50259.a1,Zha16_no_2_tors,50259,8,8,0,0,0,UNCHANGED
50262d1,50262.c1,Zha16_no_2_tors,50262,10,10,0,0,0,UNCHANGED
50262g1,50262.g1,Zha16_no_2_tors,50262,10,10,0,0,0,UNCHANGED
50281a1,50281.c1,Zha16_no_2_tors,50281,9,9,0,0,0,UNCHANGED
50281e1,50281.e1,Zha16_no_2_tors,50281,9,9,0,0,0,UNCHANGED
50282a1,50282.b1,Zha16_no_2_tors,50282,8,8,0,0,0,UNCHANGED
50306a1,50306.a2,CLZ20,50306,1,1,0,0,0,UNCHANGED
50322c1,50322.c1,CLZ20,50322,2,2,0,0,0,UNCHANGED
50331b1,50331.b1,CLZ20,50331,3,3,0,0,0,UNCHANGED
50343a1,50343.b1,Zha16_no_2_tors,50343,9,9,0,0,0,UNCHANGED
50354b1,50354.a1,Zha16_no_2_tors,50354,11,10,1,0,-1,SHRINK_ONLY
50365b1,50365.c1,Zha16_no_2_tors,50365,9,7,2,0,-2,SHRINK_ONLY
50369b1,50369.b1,CLZ20,50369,1,1,0,0,0,UNCHANGED
50378a1,50378.a1,Zha16_no_2_tors,50378,21,21,0,0,0,UNCHANGED
50379b1,50379.b1,Zha16_no_2_tors,50379,6,6,0,0,0,UNCHANGED
50390d1,50390.f1,Zha16_no_2_tors,50390,11,11,0,0,0,UNCHANGED
50394a1,50394.b1,Zha16_no_2_tors,50394,6,6,0,0,0,UNCHANGED
50394d1,50394.d1,Zha16_no_2_tors,50394,6,6,0,0,0,UNCHANGED
50419a1,50419.a2,CLZ20,50419,1,1,0,0,0,UNCHANGED
50451b1,50451.b1,Zha16_no_2_tors,50451,7,7,0,0,0,UNCHANGED
50462c1,50462.c1,Zha16_no_2_tors,50462,9,9,0,0,0,UNCHANGED
50483b1,50483.b1,Zha16_no_2_tors,50483,20,15,5,0,-5,SHRINK_ONLY
50483c1,50483.c1,Zha16_no_2_tors,50483,19,17,2,0,-2,SHRINK_ONLY
50506a1,50506.a1,Zha16_no_2_tors,50506,15,15,0,0,0,UNCHANGED
50545a1,50545.a1,Zha16_no_2_tors,50545,10,7,3,0,-3,SHRINK_ONLY
50546a1,50546.a1,Zha16_no_2_tors,50546,13,8,5,0,-5,SHRINK_ONLY
50546b1,50546.c1,Zha16_no_2_tors,50546,7,7,0,0,0,UNCHANGED
50554b1,50554.d1,Zha16_no_2_tors,50554,3,2,1,0,-1,SHRINK_ONLY
50579b1,50579.b1,Zha16_no_2_tors,50579,18,18,0,0,0,UNCHANGED
50585c1,50585.a1,Zha16_no_2_tors,50585,8,8,0,0,0,UNCHANGED
50610f1,50610.f1,Zha16_no_2_tors,50610,1,1,0,0,0,UNCHANGED
50610q1,50610.r1,Zha16_no_2_tors,50610,1,1,0,0,0,UNCHANGED
50618a1,50618.a1,Zha16_no_2_tors,50618,22,14,8,0,-8,SHRINK_ONLY
50619b1,50619.c1,Zha16_no_2_tors,50619,9,9,0,0,0,UNCHANGED
50619c1,50619.a1,Zha16_no_2_tors,50619,11,11,0,0,0,UNCHANGED
50623a1,50623.a1,CLZ20,50623,1,1,0,0,0,UNCHANGED
50630d1,50630.d1,Zha16_no_2_tors,50630,4,4,0,0,0,UNCHANGED
50631a1,50631.a2,CLZ20,50631,1,1,0,0,0,UNCHANGED
50646g1,50646.g1,Zha16_no_2_tors,50646,4,4,0,0,0,UNCHANGED
50649a1,50649.a1,Zha16_no_2_tors,50649,15,15,0,0,0,UNCHANGED
50662a1,50662.a1,Zha16_no_2_tors,50662,8,8,0,0,0,UNCHANGED
50682b1,50682.a1,Zha16_no_2_tors,50682,4,4,0,0,0,UNCHANGED
50682f1,50682.f1,Zha16_no_2_tors,50682,4,4,0,0,0,UNCHANGED
50709a1,50709.a1,Zha16_no_2_tors,50709,19,19,0,0,0,UNCHANGED
50730b1,50730.b1,Zha16_no_2_tors,50730,3,3,0,0,0,UNCHANGED
50730d1,50730.d1,Zha16_no_2_tors,50730,3,3,0,0,0,UNCHANGED
50730f1,50730.g1,Zha16_no_2_tors,50730,3,3,0,0,0,UNCHANGED
50734a1,50734.a1,Zha16_no_2_tors,50734,27,18,9,0,-9,SHRINK_ONLY
50739a1,50739.b1,Zha16_no_2_tors,50739,10,10,0,0,0,UNCHANGED
