curve_label,status,old_index,new_index,old_source,new_source,old_lmfdb_label,new_lmfdb_label
10010e1,REMOVED,5058,,Zha16_no_2_tors,,10010.g1,
10010l1,REMOVED,5059,,Zha16_no_2_tors,,10010.h1,
10010r1,REMOVED,5061,,Zha16_no_2_tors,,10010.z1,
10087b1,REMOVED,5069,,Zha16_no_2_tors,,10087.b1,
10087c1,REMOVED,5068,,Zha16_no_2_tors,,10087.a1,
10106a1,REMOVED,5074,,Zha16_no_2_tors,,10106.a2,
10142a1,REMOVED,5078,,Zha16_no_2_tors,,10142.a1,
10306b1,REMOVED,5098,,Zha16_no_2_tors,,10306.a1,
10310b1,REMOVED,5100,,Zha16_no_2_tors,,10310.b2,
10349b1,REMOVED,5102,,Zha16_no_2_tors,,10349.a1,
10370b1,REMOVED,5108,,Zha16_no_2_tors,,10370.c2,
10370d1,REMOVED,5109,,Zha16_no_2_tors,,10370.d1,
10402f1,REMOVED,5115,,Zha16_no_2_tors,,10402.f1,
10470d1,REMOVED,5121,,Zha16_no_2_tors,,10470.d1,
10538b1,REMOVED,5129,,Zha16_no_2_tors,,10538.a2,
10598b1,REMOVED,5138,,Zha16_no_2_tors,,10598.b1,
10619a1,REMOVED,5140,,Zha16_no_2_tors,,10619.a1,
10621c1,REMOVED,5141,,Zha16_no_2_tors,,10621.c3,
10762c1,REMOVED,5154,,Zha16_no_2_tors,,10762.c1,
10790j1,REMOVED,5160,,Zha16_no_2_tors,,10790.i2,
10790k1,REMOVED,5161,,Zha16_no_2_tors,,10790.k1,
10802a1,REMOVED,5162,,Zha16_no_2_tors,,10802.a1,
10846a1,REMOVED,5168,,Zha16_no_2_tors,,10846.a1,
10846f1,REMOVED,5169,,Zha16_no_2_tors,,10846.e2,
10990g1,REMOVED,5178,,Zha16_no_2_tors,,10990.g3,
10990i1,REMOVED,5175,,Zha16_no_2_tors,,10990.b2,
10994k1,REMOVED,5181,,Zha16_no_2_tors,,10994.p1,
11015a1,REMOVED,5186,,Zha16_no_2_tors,,11015.a1,
11170d1,REMOVED,5198,,Zha16_no_2_tors,,11170.e2,
11219a1,REMOVED,5205,,Zha16_no_2_tors,,11219.b1,
11267e1,REMOVED,5212,,Zha16_no_2_tors,,11267.e1,
11390c1,REMOVED,5219,,Zha16_no_2_tors,,11390.a1,
11390g1,REMOVED,5222,,Zha16_no_2_tors,,11390.g1,
11438a1,REMOVED,5227,,Zha16_no_2_tors,,11438.a1,
11590b1,REMOVED,5241,,Zha16_no_2_tors,,11590.a1,
11590o1,REMOVED,5242,,Zha16_no_2_tors,,11590.m2,
11590r1,REMOVED,5243,,Zha16_no_2_tors,,11590.r1,
11609c1,REMOVED,5245,,Zha16_no_2_tors,,11609.c1,
11702a1,REMOVED,5251,,Zha16_no_2_tors,,11702.a1,
11795a1,REMOVED,5255,,Zha16_no_2_tors,,11795.a1,
11843a1,REMOVED,5259,,Zha16_no_2_tors,,11843.b1,
11914e1,REMOVED,5268,,Zha16_no_2_tors,,11914.b3,
11965b1,REMOVED,5276,,Zha16_no_2_tors,,11965.b1,
12122b1,REMOVED,5293,,Zha16_no_2_tors,,12122.b1,
12122c1,REMOVED,5294,,Zha16_no_2_tors,,12122.c1,
12122d1,REMOVED,5295,,Zha16_no_2_tors,,12122.e2,
12155c1,REMOVED,5297,,Zha16_no_2_tors,,12155.f1,
12155f1,REMOVED,5298,,Zha16_no_2_tors,,12155.g1,
12194b1,REMOVED,5302,,Zha16_no_2_tors,,12194.a1,
12194d1,REMOVED,5303,,Zha16_no_2_tors,,12194.b1,
12206a1,REMOVED,5304,,Zha16_no_2_tors,,12206.a1,
12310a1,REMOVED,5322,,Zha16_no_2_tors,,12310.b1,
12334b1,REMOVED,5324,,Zha16_no_2_tors,,12334.a1,
12445b1,REMOVED,5338,,Zha16_no_2_tors,,12445.e1,
12458b1,REMOVED,5340,,Zha16_no_2_tors,,12458.b1,
12470b1,REMOVED,5346,,Zha16_no_2_tors,,12470.f2,
12470f1,REMOVED,5345,,Zha16_no_2_tors,,12470.a1,
12530h1,REMOVED,5348,,Zha16_no_2_tors,,12530.a2,
12643a1,REMOVED,5356,,Zha16_no_2_tors,,12643.a2,
12683a1,REMOVED,5361,,Zha16_no_2_tors,,12683.a1,
12694b1,REMOVED,5362,,Zha16_no_2_tors,,12694.b1,
12731a1,REMOVED,5365,,Zha16_no_2_tors,,12731.a1,
12770b1,REMOVED,5368,,Zha16_no_2_tors,,12770.b1,
13045c1,REMOVED,5396,,Zha16_no_2_tors,,13045.b2,
13090l1,REMOVED,5403,,Zha16_no_2_tors,,13090.j2,
13090m1,REMOVED,5404,,Zha16_no_2_tors,,13090.k1,
13283b1,REMOVED,5425,,Zha16_no_2_tors,,13283.c1,
13301a1,REMOVED,5429,,Zha16_no_2_tors,,13301.a1,
13390a1,REMOVED,5434,,Zha16_no_2_tors,,13390.a1,
13490c1,REMOVED,5442,,Zha16_no_2_tors,,13490.e1,
13510b1,REMOVED,5444,,Zha16_no_2_tors,,13510.a1,
13510f1,REMOVED,5446,,Zha16_no_2_tors,,13510.f2,
13535b1,REMOVED,5449,,Zha16_no_2_tors,,13535.a1,
13610e1,REMOVED,5464,,Zha16_no_2_tors,,13610.f2,
13634a1,REMOVED,5471,,Zha16_no_2_tors,,13634.a1,
13663a1,REMOVED,5473,,Zha16_no_2_tors,,13663.a1,
13702c1,REMOVED,5478,,Zha16_no_2_tors,,13702.i1,
13826d1,REMOVED,5484,,Zha16_no_2_tors,,13826.g1,
13826e1,REMOVED,5483,,Zha16_no_2_tors,,13826.f1,
13826f1,REMOVED,5482,,Zha16_no_2_tors,,13826.e2,
13895b1,REMOVED,5491,,Zha16_no_2_tors,,13895.b1,
13930k1,REMOVED,5498,,Zha16_no_2_tors,,13930.i3,
14042f1,REMOVED,5514,,Zha16_no_2_tors,,14042.d2,
14077a1,REMOVED,5517,,Zha16_no_2_tors,,14077.a1,
14126a1,REMOVED,5523,,Zha16_no_2_tors,,14126.a1,
14141a1,REMOVED,5525,,Zha16_no_2_tors,,14141.a1,
14302a1,REMOVED,5539,,Zha16_no_2_tors,,14302.a1,
14315d1,REMOVED,5542,,Zha16_no_2_tors,,14315.c3,
14331d1,REMOVED,5543,,Zha16_no_2_tors,,14331.b2,
14383a1,REMOVED,5550,,Zha16_no_2_tors,,14383.a1,
14395a1,REMOVED,5553,,Zha16_no_2_tors,,14395.a1,
14507a1,REMOVED,5568,,Zha16_no_2_tors,,14507.a1,
14726b1,REMOVED,5593,,Zha16_no_2_tors,,14726.b2,
14770e1,REMOVED,5607,,Zha16_no_2_tors,,14770.a1,
14770i1,REMOVED,5610,,Zha16_no_2_tors,,14770.j1,
14777a1,REMOVED,5611,,Zha16_no_2_tors,,14777.a1,
14938i1,REMOVED,5629,,Zha16_no_2_tors,,14938.l1,
14938m1,REMOVED,5625,,Zha16_no_2_tors,,14938.a1,
15011a1,REMOVED,5639,,Zha16_no_2_tors,,15011.a1,
15062g1,REMOVED,5650,,Zha16_no_2_tors,,15062.g1,
15070a1,REMOVED,5653,,Zha16_no_2_tors,,15070.a1,
15074a1,REMOVED,5656,,Zha16_no_2_tors,,15074.a1,
15155c1,REMOVED,5662,,Zha16_no_2_tors,,15155.c2,
15158d1,REMOVED,5664,,Zha16_no_2_tors,,15158.b1,
15314e1,REMOVED,5676,,Zha16_no_2_tors,,15314.f2,
15458a1,REMOVED,5693,,Zha16_no_2_tors,,15458.a2,
15515a1,REMOVED,5698,,Zha16_no_2_tors,,15515.b2,
15598a1,REMOVED,5706,,Zha16_no_2_tors,,15598.b2,
15686f1,REMOVED,5718,,Zha16_no_2_tors,,15686.g1,
15755b1,REMOVED,5721,,Zha16_no_2_tors,,15755.c1,
15770a1,REMOVED,5723,,Zha16_no_2_tors,,15770.a1,
15782b1,REMOVED,5725,,Zha16_no_2_tors,,15782.a1,
15947a1,REMOVED,5738,,Zha16_no_2_tors,,15947.a1,
16019a1,REMOVED,5742,,Zha16_no_2_tors,,16019.a1,
16070b1,REMOVED,5746,,Zha16_no_2_tors,,16070.c1,
16109b1,REMOVED,5750,,Zha16_no_2_tors,,16109.b1,
16238h1,REMOVED,5762,,Zha16_no_2_tors,,16238.h1,
16330b1,REMOVED,5771,,Zha16_no_2_tors,,16330.c2,
16354c1,REMOVED,5774,,Zha16_no_2_tors,,16354.a1,
16354e1,REMOVED,5775,,Zha16_no_2_tors,,16354.h2,
16507a1,REMOVED,5784,,Zha16_no_2_tors,,16507.a1,
16555f1,REMOVED,5788,,Zha16_no_2_tors,,16555.d3,
16702a1,REMOVED,5803,,Zha16_no_2_tors,,16702.a1,
16715a1,REMOVED,5804,,Zha16_no_2_tors,,16715.a1,
16730f1,REMOVED,5807,,Zha16_no_2_tors,,16730.f1,
16738b1,REMOVED,5809,,Zha16_no_2_tors,,16738.a1,
16870b1,REMOVED,5817,,Zha16_no_2_tors,,16870.a3,
16910f1,REMOVED,5823,,Zha16_no_2_tors,,16910.c2,
16922a1,REMOVED,5826,,Zha16_no_2_tors,,16922.a1,
17030e1,REMOVED,5838,,Zha16_no_2_tors,,17030.e2,
17153a1,REMOVED,5847,,Zha16_no_2_tors,,17153.a1,
17195a1,REMOVED,5852,,Zha16_no_2_tors,,17195.a2,
17482a1,REMOVED,5879,,Zha16_no_2_tors,,17482.a1,
17507d1,REMOVED,5883,,Zha16_no_2_tors,,17507.k1,
17507g1,REMOVED,5881,,Zha16_no_2_tors,,17507.e1,
17722a1,REMOVED,5908,,Zha16_no_2_tors,,17722.a1,
17822f1,REMOVED,5917,,Zha16_no_2_tors,,17822.a2,
17905c1,REMOVED,5923,,Zha16_no_2_tors,,17905.e1,
17966c1,REMOVED,5930,,Zha16_no_2_tors,,17966.c1,
