curve_label,lmfdb_label,source,conductor,has_isogeny_3,has_isogeny_5,has_isogeny_7,isogeny_set_357,isogeny_degrees,a3,abs_a3_eq_3,failure_class,good_reduction_at_3,projective_point_count_at_3,nonsingular_projective_point_count_at_3,ecdata_aplist_a3_token
12310a1,12310.b1,Zha16_no_2_tors,12310,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12334b1,12334.a1,Zha16_no_2_tors,12334,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
12445b1,12445.e1,Zha16_no_2_tors,12445,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
12458b1,12458.b1,Zha16_no_2_tors,12458,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12470b1,12470.f2,Zha16_no_2_tors,12470,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
12470f1,12470.a1,Zha16_no_2_tors,12470,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
12530h1,12530.a2,Zha16_no_2_tors,12530,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
12643a1,12643.a2,Zha16_no_2_tors,12643,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
12683a1,12683.a1,Zha16_no_2_tors,12683,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12694b1,12694.b1,Zha16_no_2_tors,12694,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
12731a1,12731.a1,Zha16_no_2_tors,12731,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12770b1,12770.b1,Zha16_no_2_tors,12770,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13045c1,13045.b2,Zha16_no_2_tors,13045,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
13090l1,13090.j2,Zha16_no_2_tors,13090,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
13090m1,13090.k1,Zha16_no_2_tors,13090,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
13283b1,13283.c1,Zha16_no_2_tors,13283,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13301a1,13301.a1,Zha16_no_2_tors,13301,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13390a1,13390.a1,Zha16_no_2_tors,13390,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
13490c1,13490.e1,Zha16_no_2_tors,13490,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13510b1,13510.a1,Zha16_no_2_tors,13510,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
13510f1,13510.f2,Zha16_no_2_tors,13510,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
13535b1,13535.a1,Zha16_no_2_tors,13535,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13610e1,13610.f2,Zha16_no_2_tors,13610,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
13634a1,13634.a1,Zha16_no_2_tors,13634,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
13663a1,13663.a1,Zha16_no_2_tors,13663,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13702c1,13702.i1,Zha16_no_2_tors,13702,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13826d1,13826.g1,Zha16_no_2_tors,13826,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13826e1,13826.f1,Zha16_no_2_tors,13826,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
13826f1,13826.e2,Zha16_no_2_tors,13826,False,True,False,5,1;5,-1,False,ISOGENY_ONLY,True,5,5,-1
13895b1,13895.b1,Zha16_no_2_tors,13895,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
13930k1,13930.i3,Zha16_no_2_tors,13930,True,False,False,3,1;3;9,-2,False,ISOGENY_ONLY,True,6,6,-2
14042f1,14042.d2,Zha16_no_2_tors,14042,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
14077a1,14077.a1,Zha16_no_2_tors,14077,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14126a1,14126.a1,Zha16_no_2_tors,14126,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14141a1,14141.a1,Zha16_no_2_tors,14141,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14302a1,14302.a1,Zha16_no_2_tors,14302,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14315d1,14315.c3,Zha16_no_2_tors,14315,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
14331d1,14331.b2,Zha16_no_2_tors,14331,False,True,False,5,1;5,1,False,ISOGENY_ONLY,False,3,2,-
14383a1,14383.a1,Zha16_no_2_tors,14383,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
14395a1,14395.a1,Zha16_no_2_tors,14395,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
14507a1,14507.a1,Zha16_no_2_tors,14507,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14726b1,14726.b2,Zha16_no_2_tors,14726,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
14770e1,14770.a1,Zha16_no_2_tors,14770,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
14770i1,14770.j1,Zha16_no_2_tors,14770,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14777a1,14777.a1,Zha16_no_2_tors,14777,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14938i1,14938.l1,Zha16_no_2_tors,14938,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
14938m1,14938.a1,Zha16_no_2_tors,14938,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15011a1,15011.a1,Zha16_no_2_tors,15011,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15062g1,15062.g1,Zha16_no_2_tors,15062,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
15070a1,15070.a1,Zha16_no_2_tors,15070,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15074a1,15074.a1,Zha16_no_2_tors,15074,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15155c1,15155.c2,Zha16_no_2_tors,15155,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15158d1,15158.b1,Zha16_no_2_tors,15158,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15314e1,15314.f2,Zha16_no_2_tors,15314,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15458a1,15458.a2,Zha16_no_2_tors,15458,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15515a1,15515.b2,Zha16_no_2_tors,15515,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15598a1,15598.b2,Zha16_no_2_tors,15598,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15686f1,15686.g1,Zha16_no_2_tors,15686,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
15755b1,15755.c1,Zha16_no_2_tors,15755,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
15770a1,15770.a1,Zha16_no_2_tors,15770,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15782b1,15782.a1,Zha16_no_2_tors,15782,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
15947a1,15947.a1,Zha16_no_2_tors,15947,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
16019a1,16019.a1,Zha16_no_2_tors,16019,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
16070b1,16070.c1,Zha16_no_2_tors,16070,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
16109b1,16109.b1,Zha16_no_2_tors,16109,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
16238h1,16238.h1,Zha16_no_2_tors,16238,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
16330b1,16330.c2,Zha16_no_2_tors,16330,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
16354c1,16354.a1,Zha16_no_2_tors,16354,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
16354e1,16354.h2,Zha16_no_2_tors,16354,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
16507a1,16507.a1,Zha16_no_2_tors,16507,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
16555f1,16555.d3,Zha16_no_2_tors,16555,True,False,False,3,1;3;9,-2,False,ISOGENY_ONLY,True,6,6,-2
16702a1,16702.a1,Zha16_no_2_tors,16702,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
16715a1,16715.a1,Zha16_no_2_tors,16715,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
16730f1,16730.f1,Zha16_no_2_tors,16730,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
16738b1,16738.a1,Zha16_no_2_tors,16738,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
16870b1,16870.a3,Zha16_no_2_tors,16870,True,False,False,3,1;3;9,-2,False,ISOGENY_ONLY,True,6,6,-2
16910f1,16910.c2,Zha16_no_2_tors,16910,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
16922a1,16922.a1,Zha16_no_2_tors,16922,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17030e1,17030.e2,Zha16_no_2_tors,17030,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
17153a1,17153.a1,Zha16_no_2_tors,17153,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17195a1,17195.a2,Zha16_no_2_tors,17195,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
17482a1,17482.a1,Zha16_no_2_tors,17482,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17507d1,17507.k1,Zha16_no_2_tors,17507,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17507g1,17507.e1,Zha16_no_2_tors,17507,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
17722a1,17722.a1,Zha16_no_2_tors,17722,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17822f1,17822.a2,Zha16_no_2_tors,17822,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
17905c1,17905.e1,Zha16_no_2_tors,17905,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
17966c1,17966.c1,Zha16_no_2_tors,17966,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18086a1,18086.a1,Zha16_no_2_tors,18086,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
18246e1,18246.e1,Zha16_no_2_tors,18246,False,True,False,5,1;5,1,False,ISOGENY_ONLY,False,3,2,-
18362a1,18362.a1,Zha16_no_2_tors,18362,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18395a1,18395.a1,Zha16_no_2_tors,18395,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18458d1,18458.e2,Zha16_no_2_tors,18458,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
18506b1,18506.b1,Zha16_no_2_tors,18506,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18518a1,18518.a1,Zha16_no_2_tors,18518,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18538g1,18538.a1,Zha16_no_2_tors,18538,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
18611a1,18611.a1,Zha16_no_2_tors,18611,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18613a1,18613.b1,Zha16_no_2_tors,18613,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18655e1,18655.f1,Zha16_no_2_tors,18655,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
18685a1,18685.a1,Zha16_no_2_tors,18685,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
18781a1,18781.a1,Zha16_no_2_tors,18781,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18851a1,18851.a1,Zha16_no_2_tors,18851,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
18858j1,18858.i2,Zha16_no_2_tors,18858,False,True,False,5,1;5,1,False,ISOGENY_ONLY,False,3,2,-
18974b1,18974.a1,Zha16_no_2_tors,18974,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
19090f1,19090.g1,Zha16_no_2_tors,19090,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
19189b1,19189.b2,Zha16_no_2_tors,19189,False,True,False,5,1;5,-1,False,ISOGENY_ONLY,True,5,5,-1
19270e1,19270.a1,Zha16_no_2_tors,19270,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
19490c1,19490.d1,Zha16_no_2_tors,19490,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
19586a1,19586.a1,Zha16_no_2_tors,19586,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
19610b1,19610.e1,Zha16_no_2_tors,19610,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
19610d1,19610.c2,Zha16_no_2_tors,19610,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
19694a1,19694.a1,Zha16_no_2_tors,19694,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
19805a1,19805.a2,Zha16_no_2_tors,19805,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
19826c1,19826.b1,Zha16_no_2_tors,19826,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
19870a1,19870.a2,Zha16_no_2_tors,19870,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
20422a1,20422.a1,Zha16_no_2_tors,20422,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
20462b1,20462.a1,Zha16_no_2_tors,20462,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
20582a1,20582.a2,Zha16_no_2_tors,20582,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
20614a1,20614.a1,Zha16_no_2_tors,20614,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
20621a1,20621.c2,Zha16_no_2_tors,20621,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
20630a1,20630.b1,Zha16_no_2_tors,20630,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
20630c1,20630.c1,Zha16_no_2_tors,20630,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
20851a1,20851.a2,Zha16_no_2_tors,20851,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
20878d1,20878.e2,Zha16_no_2_tors,20878,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
20962c1,20962.g1,Zha16_no_2_tors,20962,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21130d1,21130.d1,Zha16_no_2_tors,21130,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21170d1,21170.d1,Zha16_no_2_tors,21170,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21194a1,21194.a1,Zha16_no_2_tors,21194,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21230c1,21230.d1,Zha16_no_2_tors,21230,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21230d1,21230.c2,Zha16_no_2_tors,21230,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
21230e1,21230.e1,Zha16_no_2_tors,21230,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21314a1,21314.a1,Zha16_no_2_tors,21314,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21362b1,21362.a1,Zha16_no_2_tors,21362,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
21490f1,21490.g1,Zha16_no_2_tors,21490,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21614a1,21614.a1,Zha16_no_2_tors,21614,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
21634c1,21634.c1,Zha16_no_2_tors,21634,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21662a1,21662.a1,Zha16_no_2_tors,21662,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
21827b1,21827.b2,Zha16_no_2_tors,21827,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
22034b1,22034.b1,Zha16_no_2_tors,22034,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
22078d1,22078.c2,Zha16_no_2_tors,22078,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
22262a1,22262.a1,Zha16_no_2_tors,22262,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
22310d1,22310.d2,Zha16_no_2_tors,22310,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
