curve_label,twist,source,lmfdb_label,conductor,reason
1322a1,33,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,129,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,177,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,489,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,537,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,561,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1322a1,849,Zha16_no_2_tors,1322.a1,1322,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,201,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,249,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,309,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,321,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,381,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,681,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1405e1,921,Zha16_no_2_tors,1405.e1,1405,STABLE_BASE_ALGORITHM2_REMOVAL
1442a1,753,Zha16_no_2_tors,1442.b1,1442,STABLE_BASE_ALGORITHM2_REMOVAL
1442a1,849,Zha16_no_2_tors,1442.b1,1442,STABLE_BASE_ALGORITHM2_REMOVAL
1442a1,921,Zha16_no_2_tors,1442.b1,1442,STABLE_BASE_ALGORITHM2_REMOVAL
1490d1,129,Zha16_no_2_tors,1490.d1,1490,STABLE_BASE_ALGORITHM2_REMOVAL
1490d1,249,Zha16_no_2_tors,1490.d1,1490,STABLE_BASE_ALGORITHM2_REMOVAL
1490d1,489,Zha16_no_2_tors,1490.d1,1490,STABLE_BASE_ALGORITHM2_REMOVAL
1502a1,33,Zha16_no_2_tors,1502.b1,1502,STABLE_BASE_ALGORITHM2_REMOVAL
1502a1,249,Zha16_no_2_tors,1502.b1,1502,STABLE_BASE_ALGORITHM2_REMOVAL
1502a1,753,Zha16_no_2_tors,1502.b1,1502,STABLE_BASE_ALGORITHM2_REMOVAL
1502a1,849,Zha16_no_2_tors,1502.b1,1502,STABLE_BASE_ALGORITHM2_REMOVAL
