curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
69a1,CLZ20,69,1,1,1,0,0,0,UNCHANGED
70035e1,Zha16_no_2_tors,70035,1,1,1,0,0,0,UNCHANGED
70035i1,Zha16_no_2_tors,70035,1,1,1,0,0,0,UNCHANGED
70035l1,Zha16_no_2_tors,70035,1,1,1,0,0,0,UNCHANGED
70035o1,Zha16_no_2_tors,70035,1,1,1,0,0,0,UNCHANGED
70055a1,Zha16_no_2_tors,70055,27,27,19,8,0,0,SHRINK_ONLY
70066b1,Zha16_no_2_tors,70066,11,11,11,0,0,0,UNCHANGED
70066e1,Zha16_no_2_tors,70066,11,11,11,0,0,0,UNCHANGED
70077a1,Zha16_no_2_tors,70077,3,3,3,0,0,0,UNCHANGED
70077d1,Zha16_no_2_tors,70077,3,3,3,0,0,0,UNCHANGED
70085a1,Zha16_no_2_tors,70085,5,5,5,0,0,0,UNCHANGED
70087a1,Zha16_no_2_tors,70087,18,18,18,0,0,0,UNCHANGED
70090e1,Zha16_no_2_tors,70090,1,1,1,0,0,0,UNCHANGED
70114b1,Zha16_no_2_tors,70114,9,9,9,0,0,0,UNCHANGED
70149a1,Zha16_no_2_tors,70149,9,9,9,0,0,0,UNCHANGED
7014c1,Zha16_no_2_tors,7014,3,3,3,0,0,0,UNCHANGED
7014g1,Zha16_no_2_tors,7014,3,3,3,0,0,0,UNCHANGED
70166a1,Zha16_no_2_tors,70166,20,20,16,4,0,0,SHRINK_ONLY
70178a1,Zha16_no_2_tors,70178,22,22,16,6,0,0,SHRINK_ONLY
7017a1,Zha16_no_2_tors,7017,22,22,22,0,0,0,UNCHANGED
70194a1,CLZ20,70194,1,1,1,0,0,0,UNCHANGED
70210e1,Zha16_no_2_tors,70210,2,2,2,0,0,0,UNCHANGED
70210m1,Zha16_no_2_tors,70210,2,2,2,0,0,0,UNCHANGED
70226b1,Zha16_no_2_tors,70226,6,6,4,2,0,0,SHRINK_ONLY
70226c1,Zha16_no_2_tors,70226,6,6,4,2,0,0,SHRINK_ONLY
70242h1,Zha16_no_2_tors,70242,5,5,5,0,0,0,UNCHANGED
70242j1,Zha16_no_2_tors,70242,5,5,5,0,0,0,UNCHANGED
